Name,Risk Score,Bachelor's Degree,Master's Degree,More Than 5 Years of Work Experience,More Than 10 Years of Work Experience,More Than 15 Years of Work Experience,More Than 20 Years of Work Experience,More Than 25 Years of Work Experience,More Than 30 Years of Work Experience,Years of Work Experience,Bankruptcies,Criminal Records,Civil Litigation & Legal Filings,Tax Liens,Industry Sanctions & Other Legal Actions,Professional Licenses,LinkedIn Potential Controversies,LinkedIn Political Activity,Twitter Potential Controversies,Twitter Political Activity,Facebook Potential Controversies,Facebook Political Activity,Instagram Potential Controversies,Instagram Political Activity
Synthetic Data  #447,5,Yes,No,No,No,No,No,No,No,4,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #448,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #449,5,Yes,No,No,No,No,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #450,3,No,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #451,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #452,3,Yes,No,Yes,No,No,No,No,No,7,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #453,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #454,5,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
Synthetic Data  #455,3,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #456,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Synthetic Data  #457,3,Yes,No,Yes,No,No,No,No,No,10,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No
Synthetic Data  #458,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #459,1,Yes,No,Yes,Yes,Yes,Yes,No,No,24,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Synthetic Data  #460,5,No,No,Yes,Yes,Yes,No,No,No,17,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #461,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
Synthetic Data  #462,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No
Synthetic Data  #463,3,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #464,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes
Synthetic Data  #465,5,Yes,No,Yes,No,No,No,No,No,6,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes
Synthetic Data  #466,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #467,5,Yes,No,Yes,No,No,No,No,No,6,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #468,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #469,1,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #470,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #471,5,Yes,No,No,No,No,No,No,No,1,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #472,4,Yes,No,Yes,No,No,No,No,No,6,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes
Synthetic Data  #473,5,No,Yes,Yes,Yes,Yes,Yes,No,No,22,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #474,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes
Synthetic Data  #475,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #476,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No
Synthetic Data  #477,5,Yes,No,Yes,Yes,Yes,No,No,No,18,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #478,5,Yes,Yes,Yes,Yes,Yes,No,No,No,20,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #479,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Synthetic Data  #480,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #481,5,No,No,No,No,No,No,No,No,5,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #482,5,Yes,No,Yes,Yes,Yes,Yes,No,No,25,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #483,3,Yes,No,Yes,Yes,Yes,No,No,No,20,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #484,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #485,2,No,No,Yes,No,No,No,No,No,9,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No
Synthetic Data  #486,2,Yes,Yes,Yes,Yes,No,No,No,No,12,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #487,2,Yes,No,Yes,Yes,Yes,No,No,No,18,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes
Synthetic Data  #488,5,Yes,Yes,No,No,No,No,No,No,4,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Synthetic Data  #489,3,Yes,No,Yes,Yes,No,No,No,No,12,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #490,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #491,5,Yes,No,Yes,No,No,No,No,No,10,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #492,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #493,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,22,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No
Synthetic Data  #494,5,No,Yes,Yes,No,No,No,No,No,8,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #495,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No
Synthetic Data  #496,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
Synthetic Data  #497,3,Yes,Yes,Yes,Yes,Yes,No,No,No,20,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #498,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,37,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #499,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No
Synthetic Data  #500,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #501,5,Yes,No,Yes,No,No,No,No,No,7,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #502,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #503,5,No,No,Yes,Yes,Yes,Yes,No,No,25,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes
Synthetic Data  #504,5,Yes,No,Yes,Yes,Yes,No,No,No,19,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #505,3,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes
Synthetic Data  #506,1,Yes,No,Yes,No,No,No,No,No,10,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #507,5,Yes,No,Yes,No,No,No,No,No,10,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #508,5,No,No,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No
Synthetic Data  #509,5,Yes,No,Yes,Yes,Yes,No,No,No,18,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No
Synthetic Data  #510,4,Yes,No,Yes,No,No,No,No,No,10,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No
Synthetic Data  #511,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #512,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
Synthetic Data  #513,4,Yes,No,No,No,No,No,No,No,5,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
Synthetic Data  #514,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,29,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #515,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No
Synthetic Data  #516,5,Yes,No,No,No,No,No,No,No,1,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #517,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,31,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
Synthetic Data  #518,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes
Synthetic Data  #519,2,Yes,Yes,Yes,No,No,No,No,No,10,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes
Synthetic Data  #520,5,Yes,No,Yes,No,No,No,No,No,8,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #521,4,No,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #522,5,Yes,No,Yes,No,No,No,No,No,6,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #523,3,No,No,Yes,Yes,Yes,Yes,No,No,22,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #524,4,Yes,No,No,No,No,No,No,No,3,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #525,2,Yes,Yes,Yes,No,No,No,No,No,8,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes
Synthetic Data  #526,4,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #527,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #528,2,Yes,No,Yes,Yes,Yes,No,No,No,19,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #529,4,Yes,Yes,Yes,Yes,Yes,No,No,No,20,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No
Synthetic Data  #530,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #531,5,Yes,No,Yes,No,No,No,No,No,10,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #532,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #533,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,28,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #534,2,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
Synthetic Data  #535,5,Yes,No,Yes,No,No,No,No,No,7,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No
Synthetic Data  #536,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes
Synthetic Data  #537,5,Yes,No,Yes,Yes,Yes,No,No,No,20,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #538,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,36,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
Synthetic Data  #539,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No
Synthetic Data  #540,3,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #541,1,Yes,No,Yes,No,No,No,No,No,9,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
Synthetic Data  #542,5,Yes,No,Yes,Yes,Yes,Yes,No,No,23,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
Synthetic Data  #543,4,Yes,No,Yes,Yes,Yes,No,No,No,16,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #544,1,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #545,5,Yes,No,Yes,Yes,No,No,No,No,11,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #546,3,Yes,Yes,Yes,Yes,Yes,No,No,No,16,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No
Synthetic Data  #547,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No
Synthetic Data  #548,5,Yes,Yes,Yes,Yes,Yes,No,No,No,16,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #549,5,Yes,Yes,No,No,No,No,No,No,3,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #550,5,No,No,Yes,Yes,Yes,Yes,Yes,No,29,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #551,5,Yes,No,Yes,Yes,No,No,No,No,12,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
Synthetic Data  #552,5,Yes,No,No,No,No,No,No,No,5,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #553,3,Yes,No,Yes,Yes,Yes,Yes,No,No,22,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #554,5,Yes,No,Yes,Yes,Yes,No,No,No,18,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #555,5,Yes,No,No,No,No,No,No,No,5,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No
Synthetic Data  #556,2,Yes,No,Yes,Yes,Yes,Yes,Yes,No,27,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Synthetic Data  #557,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #558,3,Yes,Yes,Yes,Yes,Yes,No,No,No,17,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #559,4,Yes,Yes,Yes,Yes,No,No,No,No,12,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #560,3,Yes,No,No,No,No,No,No,No,5,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes
Synthetic Data  #561,3,Yes,No,Yes,Yes,No,No,No,No,12,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #562,5,Yes,No,No,No,No,No,No,No,4,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No
Synthetic Data  #563,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #564,3,No,No,Yes,Yes,Yes,Yes,No,No,22,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Synthetic Data  #565,2,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Synthetic Data  #566,4,Yes,No,Yes,Yes,Yes,Yes,No,No,24,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #567,4,Yes,No,Yes,Yes,Yes,Yes,No,No,21,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #568,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,28,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
Synthetic Data  #569,1,Yes,Yes,Yes,Yes,Yes,No,No,No,20,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Synthetic Data  #570,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #571,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #572,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #573,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #574,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,29,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #575,3,Yes,No,Yes,No,No,No,No,No,7,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Synthetic Data  #576,4,Yes,No,Yes,Yes,No,No,No,No,15,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes
Synthetic Data  #577,5,Yes,No,No,No,No,No,No,No,3,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
Synthetic Data  #578,2,Yes,No,No,No,No,No,No,No,5,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #579,2,Yes,Yes,Yes,No,No,No,No,No,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes
Synthetic Data  #580,5,No,No,No,No,No,No,No,No,3,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No
Synthetic Data  #581,5,Yes,No,No,No,No,No,No,No,3,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #582,5,No,No,Yes,Yes,Yes,Yes,Yes,No,26,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #583,3,Yes,No,Yes,Yes,Yes,No,No,No,20,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #584,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No
Synthetic Data  #585,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,34,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No
Synthetic Data  #586,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,27,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #587,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,32,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #588,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #589,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No
Synthetic Data  #590,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,31,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #591,2,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #592,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No
Synthetic Data  #593,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No
Synthetic Data  #594,3,Yes,No,Yes,Yes,No,No,No,No,13,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No
Synthetic Data  #595,5,Yes,No,Yes,Yes,Yes,No,No,No,17,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #596,2,Yes,No,Yes,Yes,No,No,No,No,13,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
Synthetic Data  #597,3,Yes,Yes,No,No,No,No,No,No,4,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes
Synthetic Data  #598,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #599,4,Yes,No,Yes,Yes,No,No,No,No,14,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes
Synthetic Data  #600,2,Yes,No,Yes,Yes,Yes,No,No,No,17,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #601,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes
Synthetic Data  #602,4,Yes,Yes,Yes,No,No,No,No,No,8,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #603,2,Yes,Yes,Yes,Yes,Yes,Yes,No,No,23,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No
Synthetic Data  #604,5,Yes,No,Yes,Yes,Yes,Yes,Yes,No,30,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
Synthetic Data  #605,1,Yes,Yes,Yes,No,No,No,No,No,6,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No
Synthetic Data  #606,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,22,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #607,1,Yes,No,Yes,Yes,No,No,No,No,15,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No
Synthetic Data  #608,5,Yes,No,No,No,No,No,No,No,1,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #609,3,Yes,No,Yes,Yes,Yes,Yes,No,No,24,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes
Synthetic Data  #610,5,Yes,No,No,No,No,No,No,No,1,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
Synthetic Data  #611,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes
Synthetic Data  #612,4,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No
Synthetic Data  #613,3,Yes,No,Yes,Yes,Yes,No,No,No,16,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No
Synthetic Data  #614,3,Yes,No,Yes,Yes,Yes,Yes,No,No,23,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Synthetic Data  #615,2,Yes,No,Yes,Yes,Yes,No,No,No,19,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No
Synthetic Data  #616,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,38,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes
Synthetic Data  #617,5,Yes,No,Yes,Yes,Yes,Yes,No,No,25,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No
Synthetic Data  #618,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No
Synthetic Data  #619,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,39,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes
Synthetic Data  #620,2,Yes,No,Yes,Yes,No,No,No,No,14,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No
Synthetic Data  #621,5,Yes,No,Yes,No,No,No,No,No,8,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No
Synthetic Data  #622,3,Yes,No,Yes,Yes,Yes,Yes,No,No,24,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No
Synthetic Data  #623,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,33,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
Synthetic Data  #624,5,Yes,No,Yes,Yes,No,No,No,No,15,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Synthetic Data  #625,5,Yes,Yes,Yes,Yes,No,No,No,No,15,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Synthetic Data  #626,2,Yes,No,Yes,No,No,No,No,No,10,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
Synthetic Data  #627,3,Yes,No,Yes,No,No,No,No,No,8,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes
Synthetic Data  #628,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,35,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes
